,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
6884,Long Keel,Masthead  Ketch,12.50 m,10.06 m,3.45 m,,3.30 m,"8,618 kg","3,629 kg",,42.11,236.03,FG,,1982,,Eva Hollman,32.71,1.70,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-star-41/pdf"">PDF</a>",SEA STAR 41,,Sen Koh Ship Builders (TAIWAN),,,,Diesel,,341 L,,454 L,,,,,,,
6885,Long Keel,Masthead Sloop,10.36 m,8.13 m,3.43 m,,1.35 m,"8,165 kg","1,814 kg",,22.22,423.60,FG,,1976,,William Garden,38.36,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-tiger-34/pdf"">PDF</a>",SEA TIGER 34,,Formosa Yachts,MD2B,,Volvo,Diesel,25,151 L,,303 L,,,,,,,
6886,Long Keel,Masthead Sloop,12.50 m,10.67 m,3.66 m,71.44 m<sup>2</sup>,1.89 m,"12,701 kg",,13.40,,291.55,FG,,1974,,William Garden,42.96,1.58,1.50,15.21 m,5.33 m,12.19 m,5.06 m,,,40.56 m<sup>2</sup>,30.84 m<sup>2</sup>,13.39,16.12 m,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-tiger-41/pdf"">PDF</a>",SEA TIGER 41,,Formosa Yachts,,,Perkins,Diesel,,303 L,,,,,,,,,
6887,Centerboard Dinghy,Fractional  Sloop,3.66 m,3.35 m,1.37 m,8.36 m<sup>2</sup>,0.48 m,160 kg,,28.86,,118.40,Wood clinker,,1931,190,Gordon Fowler/Harry Feltham,6.50,2.55,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-view-one-design-uk/pdf"">PDF</a>",SEA VIEW ONE-DESIGN (UK),,Harry Feltham,,,,,,,,,,,,,,,
6888,Long Keel,Staysail Ketch,10.90 m,9.68 m,4.04 m,76.27 m<sup>2</sup>,1.68 m,"9,979 kg",,16.80,,306.86,Wood,,1937,30,Hugh Angelman,33.05,1.90,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-witch-angelman/pdf"">PDF</a>",SEA WITCH (ANGELMAN),,Wilmington Boat Work (USA)/American Marine (HK),,1970,,,,,,,,,,,,,
6889,Long Keel,Masthead  Ketch,12.47 m,9.75 m,3.71 m,78.04 m<sup>2</sup>,1.88 m,"12,701 kg","4,309 kg",14.63,33.93,381.47,Wood/FG,,1966,,William Garden/W.Hardin,44.81,1.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-wolf-40/pdf"">PDF</a>",SEA WOLF 40,,Formosa/Hardin Yachts/Pacific Far East (TWN),,,Perkins,Diesel,,379 L,,530 L,,,,,,,
6890,Twin Keel,Masthead Sloop,5.79 m,4.65 m,2.14 m,11.98 m<sup>2</sup>,0.72 m,864 kg,327 kg,13.46,37.85,239.32,FG,,1970,700,John V Sadler,13.40,2.27,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-wych/pdf"">PDF</a>",SEA WYCH,,Sadler & Son (UK),,1981,,,,,,49 L,www.seawych.org,,,,,,
6891,Catamaran Twin Cbrd.,Frac. Sloop (Rotating Spar),5.49 m,5.23 m,2.29 m,12.73 m<sup>2</sup>,0.61 m,136 kg,,48.96,,26.50,FG,,1964,,Hubbard,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/sea-lion-18/pdf"">PDF</a>",SEA-LION 18,0.13 m,Mobjack Manufacturing Corp.,,,,,,,,,,1.40,,,,,
6892,Centerboard Dinghy,Gaffhead Sloop,6.10 m,4.98 m,1.83 m,16.91 m<sup>2</sup>,0.76 m,895 kg,245 kg,18.55,27.37,202.26,Wood (clinker),,1899,100,Herbert Baggs/W. Scott Hayward,16.07,1.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seabird-half-rater/pdf"">PDF</a>",SEABIRD HALF RATER,0.38 m,,,,,,,,,,www.trearddurbaysailingclub.co.uk,,,,,,
6893,Swing keel w/outboard rudder,Fractional  Sloop,4.91 m,4.62 m,1.93 m,13.01 m<sup>2</sup>,1.27 m,318 kg,45 kg,28.46,14.29,89.51,FG,Lead,1980,,Luger,5.99,2.85,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seabreeze-16-luger/pdf"">PDF</a>",SEABREEZE 16 (LUGER),0.25 m,Luger Boats,,,,,,,1.12 m,,,,,,,6.65 m,
6894,Keel/Cbrd.,Masthead Sloop,10.52 m,7.32 m,3.12 m,49.70 m<sup>2</sup>,2.13 m,"6,169 kg","1,814 kg",15.08,29.41,439.19,FG,Lead,1963,135,MacLear & Harris,34.88,1.72,0.87,12.19 m,3.96 m,10.64 m,4.80 m,,,24.15 m<sup>2</sup>,25.53 m<sup>2</sup>,15.07,12.82 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seabreeze-35-allied/pdf"">PDF</a>",SEABREEZE 35 (ALLIED),1.17 m,Allied Boat Co. Inc. (USA),M60,1973,Palmer,Gas,,114 L,,170 L,,,,,,,
6895,Keel/Cbrd.,Masthead Sloop,10.52 m,7.32 m,3.12 m,,2.13 m,"6,169 kg","1,814 kg",,29.41,439.19,FG,,1970,,MacLear & Harris,34.88,1.72,0.87,12.19 m,3.96 m,10.61 m,4.82 m,,,24.15 m<sup>2</sup>,25.54 m<sup>2</sup>,15.08,12.82 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seabreeze-35-citation-allied/pdf"">PDF</a>",SEABREEZE 35 CITATION (ALLIED),1.17 m,Allied Boat Co. Inc. (USA),,,Palmer,,,,,,,,,,,,
6896,Trimaran Dbrd.,Frac. Sloop (Rotating Spar),7.92 m,,5.59 m,37.81 m<sup>2</sup>,1.50 m,700 kg,,48.87,,,FG,,2011,,Marc Lombard,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seacart-26/pdf"">PDF</a>",SEACART 26,0.24 m,Composite Marine Int./OceanLake Marine,,,,,,,,,,N/A,,,,,
6897,Trimaran Dbrd.,Fractional  Sloop,9.15 m,9.00 m,6.67 m,61.97 m<sup>2</sup>,3.20 m,930 kg,,66.28,,35.54,FG,,2003,,Marc Lombard,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seacart-30/pdf"">PDF</a>",SEACART 30,0.35 m,OceanLake Marine,,,Selva,Gas,8,,,,,1.55,,,,,
6898,Fin with rudder on skeg,Fractional  Sloop,6.35 m,5.65 m,1.95 m,,1.10 m,900 kg,,,,138.98,FG,,1966,500,Pelle Petterson,13.44,2.04,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seacat-16-marieholm/pdf"">PDF</a>",SEACAT 16 (MARIEHOLM),,Marieholms Bruk (SWE),,1973,,,,,,,,,,,,,
6899,Fin with rudder on skeg,Masthead Sloop,10.01 m,7.32 m,2.80 m,51.56 m<sup>2</sup>,1.42 m,"4,731 kg","2,032 kg",18.67,42.95,336.82,FG,Iron,1971,12,Van de Stadt,31.56,1.68,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seacracker-33/pdf"">PDF</a>",SEACRACKER 33,,Tyler Mouldings Ltd. (UK),Captain,,BMC,Diesel,31,38 L,,110 L,,,,,,,
6900,Centerboard Dinghy,Cat (unstayed),2.90 m,,1.24 m,3.90 m<sup>2</sup>,0.61 m,54 kg,,27.63,,,FG,,,,,,3.31,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seadog-skimmar/pdf"">PDF</a>",SEADOG (SKIMMAR),,Skimmar Boats,,,,,,,,,,,,,,,
6901,Triple Keel,Masthead  Ketch,9.14 m,7.32 m,2.90 m,47.38 m<sup>2</sup>,1.07 m,"5,842 kg","1,778 kg",14.90,30.43,415.94,FG,,1966,130,Reg Freeman,38.46,1.62,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seadog-30/pdf"">PDF</a>",SEADOG 30,,Glascade GRP Ltd./Reg Freeman Yachts Ltd. (UK),,1974,,,,,,,,,,,,,
6902,Fin Keel,Masthead Sloop,9.75 m,8.66 m,2.46 m,,1.65 m,"3,629 kg","1,361 kg",,37.50,155.59,Wood,,1954,12,Ben Seaborn,25.96,1.62,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seafair-32/pdf"">PDF</a>",SEAFAIR 32,,Martin Monson (USA),,,Grey Marine,Gas,,114 L,,189 L,,,,,,,
6903,Long keel w/trans. hung rudder,Fractional  Sloop,7.62 m,6.55 m,2.36 m,31.96 m<sup>2</sup>,1.22 m,"1,588 kg",,23.94,,157.22,Wood,Lead,1937,,A. Sidney DeWolf Herreshoff,15.68,2.04,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-herreshoff/pdf"">PDF</a>",SEAFARER (HERRESHOFF),,Herreshoff Manufacturing Co. (USA),,,Lauson,Gas,2.5,,,,,,,,,,
6904,Fin with rudder on skeg,Masthead Sloop,6.61 m,5.59 m,2.26 m,19.23 m<sup>2</sup>,0.86 m,"1,043 kg",354 kg,19.05,33.91,166.72,FG w/balsa cored deck,Lead,1976,,McCurdy & Rhodes,12.73,2.25,3.40,7.92 m,2.82 m,6.63 m,2.44 m,,,11.17 m<sup>2</sup>,8.08 m<sup>2</sup>,19.08,8.41 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-22/pdf"">PDF</a>",SEAFARER 22,,Seafarer Yachts,,,,,,,,,,,,,,,
6905,Fin Keel,Masthead Sloop,7.03 m,5.46 m,2.19 m,21.27 m<sup>2</sup>,0.99 m,"1,588 kg",481 kg,15.94,30.29,271.52,FG,,1976,,McCurdy & Rhodes,20.14,1.89,1.88,8.20 m,2.32 m,7.01 m,3.35 m,,,9.50 m<sup>2</sup>,11.75 m<sup>2</sup>,15.92,8.52 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-23/pdf"">PDF</a>",SEAFARER 23,,Seafarer Yachts (USA),,,,,,,,,,,,,,,
6906,Fin with rudder on skeg,Masthead Sloop,6.91 m,5.64 m,2.31 m,19.23 m<sup>2</sup>,0.99 m,"1,157 kg",463 kg,17.79,40.00,179.79,FG,Lead,1978,,McCurdy and Rhodes,13.43,2.22,3.06,7.92 m,2.82 m,6.63 m,2.44 m,,,11.17 m<sup>2</sup>,8.08 m<sup>2</sup>,17.81,8.41 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-23-challenger/pdf"">PDF</a>",SEAFARER 23 CHALLENGER,,Seafarer Yachts (USA),,1984,,,,,,,,,,,,,
6907,Keel/Cbrd.,Masthead Sloop,7.03 m,5.03 m,2.13 m,21.27 m<sup>2</sup>,,"1,678 kg",635 kg,15.36,37.84,367.71,FG,Iron,1963,,Sparkman & Stephens,23.16,1.81,1.20,8.18 m,2.32 m,7.03 m,3.35 m,,,9.48 m<sup>2</sup>,11.79 m<sup>2</sup>,15.36,8.50 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-23-kestrel-cruise/pdf"">PDF</a>",SEAFARER 23 KESTREL (CRUISE),0.71 m,G. de Vries Lentch Jr.(NED),,,,,,,,57 L,,,,,,,
6908,Keel/Cbrd.,Masthead Sloop,7.03 m,5.03 m,2.13 m,21.27 m<sup>2</sup>,,"1,678 kg",635 kg,15.36,37.84,367.71,FG,Iron,1963,,Sparkman & Stephens,23.16,1.81,1.20,8.18 m,2.32 m,7.03 m,3.35 m,,,9.48 m<sup>2</sup>,11.79 m<sup>2</sup>,15.36,8.50 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-23-kestrel-daysailer/pdf"">PDF</a>",SEAFARER 23 KESTREL (DAYSAILER),0.71 m,G. de Vries Lentch Jr.(NED),,,,,,34 L,,57 L,,,,,,,
6909,Fin with rudder on skeg,Masthead Sloop,7.34 m,6.32 m,2.38 m,23.97 m<sup>2</sup>,1.14 m,"1,774 kg",593 kg,16.68,33.43,195.38,FG,,1974,,McCurdy & Rhodes,17.94,1.99,2.73,8.69 m,3.14 m,7.32 m,2.83 m,,,13.64 m<sup>2</sup>,10.37 m<sup>2</sup>,16.70,9.24 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-24/pdf"">PDF</a>",SEAFARER 24,,Seafarer,,,,,,,,,,,,,,,
6910,Fin with rudder on skeg,Masthead Sloop,7.85 m,6.93 m,2.51 m,25.08 m<sup>2</sup>,1.14 m,"2,087 kg",805 kg,15.66,38.59,174.41,FG (solid laminate),Lead,1977,,McCurdy and Rhodes,18.08,1.99,2.84,9.30 m,3.25 m,7.70 m,2.59 m,,,15.09 m<sup>2</sup>,9.97 m<sup>2</sup>,15.65,9.85 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-26/pdf"">PDF</a>",SEAFARER 26,,Seafarer Yachts,,,,,,45 L,,163 L,,,,,,10.34 m,
6911,Fin with rudder on skeg,Masthead Sloop,8.75 m,6.48 m,2.74 m,33.17 m<sup>2</sup>,1.37 m,"2,998 kg","1,161 kg",16.27,38.73,307.52,FG/solid laminate,,1972,,McCurdy & Rhodes,23.30,1.92,1.63,10.21 m,3.51 m,8.69 m,3.51 m,,,17.90 m<sup>2</sup>,15.22 m<sup>2</sup>,16.25,10.80 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-29/pdf"">PDF</a>",SEAFARER 29,,Seafarer,,,,,,,,,,,,,,,
6912,Keel/Cbrd.,Masthead Sloop,8.75 m,6.48 m,2.74 m,33.07 m<sup>2</sup>,1.37 m,"3,023 kg","1,129 kg",16.13,37.36,310.08,FG,lead,1972,,McCurdy & Rhodes,23.49,1.92,1.61,10.21 m,3.51 m,8.69 m,3.51 m,,,17.90 m<sup>2</sup>,15.22 m<sup>2</sup>,16.16,10.80 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-29-cb/pdf"">PDF</a>",SEAFARER 29 CB,0.76 m,Seafarer Yachts,,,,,,,,,,,,,,,
6913,Fin with rudder on skeg,Masthead Sloop,9.13 m,7.80 m,3.05 m,45.15 m<sup>2</sup>,1.45 m,"3,901 kg","1,565 kg",18.59,40.12,229.38,FG (balsa core  cored deck and coach),Lead,1978,,McCurdy & Rhodes,23.01,1.96,2.15,11.35 m,3.83 m,9.68 m,2.97 m,,,21.77 m<sup>2</sup>,14.38 m<sup>2</sup>,14.88,11.98 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-30/pdf"">PDF</a>",SEAFARER 30,,Seafarer Yachts (USA),2GM,1985,Yanmar,Diesel,13,76 L,1.88 m,163 L,,,,,,12.44 m,
6914,Fin with rudder on skeg,Masthead Sloop,9.50 m,6.81 m,2.69 m,38.74 m<sup>2</sup>,1.37 m,"3,969 kg","1,542 kg",15.76,38.86,350.83,FG (solid hull/balsa cored deck),Lead,1968,,William Tripp Jr.,29.74,1.72,1.32,11.13 m,3.57 m,9.51 m,3.96 m,,,19.84 m<sup>2</sup>,18.84 m<sup>2</sup>,15.74,11.68 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-31-mki/pdf"">PDF</a>",SEAFARER 31 MKI,,Seafarer Fiberglass Yachts Inc.,Atomic 4,1974,Universal,Gas,30,,,,,,,,,12.24 m,
6915,Fin with rudder on skeg,Masthead  Yawl,9.50 m,6.81 m,2.69 m,37.53 m<sup>2</sup>,1.37 m,"3,969 kg","1,520 kg",15.27,38.29,350.83,FG (balsa cored deck),Lead,1968,,William Tripp Jr.,29.74,1.72,1.16,9.91 m,3.29 m,8.38 m,3.98 m,,,16.30 m<sup>2</sup>,16.67 m<sup>2</sup>,13.42,10.44 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-31-mki-yawl/pdf"">PDF</a>",SEAFARER 31 MKI YAWL,,Seafarer Fiberglass Yachts Inc.,,,,,,,,,,,4.27 m,2.13 m,,,
6916,Fin with rudder on skeg,Masthead Sloop,9.45 m,7.64 m,2.97 m,42.27 m<sup>2</sup>,1.60 m,"4,672 kg","2,200 kg",15.43,47.09,291.48,FG/balsa cored deck,Lead,1974,,McCurdy and Rhodes,28.54,1.80,1.69,12.50 m,4.04 m,9.51 m,3.58 m,,,25.23 m<sup>2</sup>,17.03 m<sup>2</sup>,15.43,13.13 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-31-mkii/pdf"">PDF</a>",SEAFARER 31 MKII,,Seafarer Yachts (USA),Atomic 4,,Universal,Gas,30,76 L,,170 L,,,,,,13.56 m,
6917,Fin with rudder on skeg,Masthead Sloop,10.29 m,7.77 m,3.05 m,46.17 m<sup>2</sup>,1.60 m,"5,307 kg","2,159 kg",15.48,40.68,315.00,FG w/ balsa cord deck,Lead,1972,,McCurdy & Rhodes,30.10,1.77,1.52,12.50 m,4.11 m,10.72 m,3.81 m,,,25.71 m<sup>2</sup>,20.42 m<sup>2</sup>,15.47,13.16 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-34/pdf"">PDF</a>",SEAFARER 34,,Seafarer Yachts (USA),Atomic 4,,Universal,Gas,30,76 L,,151 L,,,,,,13.56 m,
6918,Long Keel,Masthead  Ketch,11.07 m,8.00 m,3.20 m,47.01 m<sup>2</sup>,1.37 m,"7,416 kg","2,495 kg",12.61,33.64,403.54,FG,,1968,,Philip Rhodes,37.67,1.66,0.79,11.23 m,4.16 m,9.33 m,3.96 m,,,23.37 m<sup>2</sup>,18.48 m<sup>2</sup>,11.23,11.97 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-36c/pdf"">PDF</a>",SEAFARER 36C,,Seafarer Yachts,,,Universal,Diesel,70,132 L,,284 L,,,4.88 m,2.13 m,,,
6919,Long Keel,Masthead Sloop,11.07 m,8.00 m,3.20 m,48.77 m<sup>2</sup>,1.37 m,"7,416 kg","2,495 kg",13.09,33.64,403.54,FG,,1968,,Philip Rhodes,37.67,1.66,0.90,12.44 m,4.16 m,10.72 m,4.27 m,,,25.91 m<sup>2</sup>,22.87 m<sup>2</sup>,13.09,13.12 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-36c-sloop/pdf"">PDF</a>",SEAFARER 36C SLOOP,,Seafarer Yachts,,,Universal,,,,,,,,,,,,
6920,Fin with rudder on skeg,Masthead Sloop,11.18 m,9.53 m,3.58 m,60.39 m<sup>2</sup>,1.91 m,"7,484 kg","3,028 kg",16.11,40.45,241.37,FG,Lead,1980,,McCurdy & Rhodes,29.14,1.85,2.08,14.17 m,4.57 m,12.50 m,3.96 m,,,32.40 m<sup>2</sup>,24.76 m<sup>2</sup>,15.24,14.89 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-37/pdf"">PDF</a>",SEAFARER 37,,Seafarer Yachts,,,,,,114 L,1.96 m,757 L,,,,,,15.24 m,
6921,Long Keel,Staysail Ketch,11.51 m,8.31 m,3.20 m,61.22 m<sup>2</sup>,1.37 m,"7,484 kg","2,495 kg",16.33,33.33,364.03,FG w/balsa cored deck,Lead,1971,,Philip L. Rhodes,36.60,1.65,1.18,12.42 m,5.23 m,10.72 m,4.27 m,,,32.48 m<sup>2</sup>,22.87 m<sup>2</sup>,14.76,13.48 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-38-ketch/pdf"">PDF</a>",SEAFARER 38 KETCH,,Seafarer Yachts,Umimite,,Universal,Gas,72,114 L,,379 L,,,5.49 m,2.13 m,,13.72 m,
6922,Long Keel,Cutter,11.51 m,8.31 m,3.20 m,45.43 m<sup>2</sup>,1.37 m,"7,484 kg","2,495 kg",12.12,33.33,364.03,FG,Lead,1972,,Philip L. Rhodes,36.60,1.65,1.00,11.22 m,4.48 m,9.51 m,4.27 m,,,25.13 m<sup>2</sup>,20.29 m<sup>2</sup>,12.11,12.08 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-38c/pdf"">PDF</a>",SEAFARER 38C,,Seafarer Yachts,108,,Perkins,Diesel,,227 L,,568 L,,,,,,,
6923,Long Keel,Staysail Ketch,11.51 m,8.31 m,3.20 m,56.58 m<sup>2</sup>,1.37 m,"7,484 kg","2,495 kg",15.09,33.33,364.03,FG/balsa cored deck,Lead,1972,,Philip L. Rhodes,36.60,1.65,1.10,12.42 m,4.48 m,10.72 m,4.27 m,,,27.83 m<sup>2</sup>,22.87 m<sup>2</sup>,13.52,13.20 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-38c-kr/pdf"">PDF</a>",SEAFARER 38C KR,,Seafarer Yachts,,,Perkins,Diesel,,,,,,,5.49 m,2.13 m,,,
6924,Fin Keel,Masthead Sloop,13.74 m,9.24 m,3.35 m,83.43 m<sup>2</sup>,1.96 m,"11,340 kg","4,309 kg",16.87,38.00,400.01,FG,Lead,1961,,Sparkman & Stephens,45.60,1.51,1.10,15.24 m,4.95 m,13.41 m,6.55 m,,,37.74 m<sup>2</sup>,43.94 m<sup>2</sup>,16.52,16.02 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-45/pdf"">PDF</a>",SEAFARER 45,,Werf Gusto (NL),491,,Gray Marine,Gas,,208 L,,946 L,,,,,,,
6925,Fin Keel,Masthead  Yawl,13.74 m,9.24 m,3.35 m,85.56 m<sup>2</sup>,1.96 m,"11,340 kg","4,196 kg",17.30,37.00,400.01,FG,Lead,1961,,Sparkman & Stephens,45.60,1.51,1.05,15.09 m,4.95 m,13.26 m,5.84 m,,,37.36 m<sup>2</sup>,38.72 m<sup>2</sup>,15.39,15.88 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-45-yawl/pdf"">PDF</a>",SEAFARER 45 YAWL,,Amsterdam Shipyard,,,Gray Marine,gas,,,,,,,6.55 m,2.90 m,,,
6926,Fin Keel,Masthead  Yawl,14.02 m,9.45 m,3.35 m,87.14 m<sup>2</sup>,1.98 m,"12,247 kg","5,103 kg",16.74,41.67,404.60,FG,Lead,1967,,Sparkman & Stephens,48.21,1.47,1.04,15.62 m,5.26 m,13.84 m,5.82 m,,,41.07 m<sup>2</sup>,40.30 m<sup>2</sup>,15.63,16.48 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-46/pdf"">PDF</a>",SEAFARER 46,,Seafarer Fiberglass Yachts (USA),,,Universal,Deisel,70,,,,,,6.55 m,2.90 m,,,
6927,Fin with rudder on skeg,Masthead  Yawl,14.63 m,10.06 m,3.61 m,97.36 m<sup>2</sup>,2.13 m,"13,608 kg","7,121 kg",17.44,52.33,372.68,FG,,1969,,Sparkman & Stephens,46.04,1.53,1.19,16.61 m,5.59 m,14.66 m,5.50 m,,,46.40 m<sup>2</sup>,40.31 m<sup>2</sup>,15.53,17.53 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-48/pdf"">PDF</a>",SEAFARER 48,,Hughes Boatworks Ltd.(CAN),,,,,,,,,,,7.16 m,2.97 m,,,
6928,Long Keel,Masthead Sloop,10.67 m,8.00 m,3.20 m,44.97 m<sup>2</sup>,1.37 m,"5,670 kg","1,905 kg",14.43,33.60,308.51,FG,Lead,1960,,Philip Rhodes,29.19,1.81,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seafarer-bahama-35-ms/pdf"">PDF</a>",SEAFARER BAHAMA 35 MS,,Amsterdam Shipyard (NED),,,Universal,Gas,70,227 L,,416 L,,,,,,,
6929,Centerboard Dinghy,Fractional  Sloop,4.27 m,4.11 m,1.80 m,11.43 m<sup>2</sup>,1.17 m,86 kg,,59.59,,34.63,FG or Ply,,1966,,S. J. Herbert/J. V. Kelley,2.02,4.11,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seafire/pdf"">PDF</a>",SEAFIRE,0.18 m,South Devon Boatbuilders (UK),,,,,,,,,,,,,,,
6930,Centerboard Dinghy,Cat (unstayed),3.96 m,,1.47 m,7.25 m<sup>2</sup>,,141 kg,,27.27,,,FG,,,,,,2.86,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaflite-12/pdf"">PDF</a>",SEAFLITE 12,0.41 m,Starcraft Marine,,,,,,,,,,,,,,,
6931,Centerboard Dinghy,Fractional  Sloop,4.50 m,4.27 m,1.73 m,11.15 m<sup>2</sup>,1.22 m,109 kg,,49.76,,39.05,Wood/FG,,1963,700,John Vincent Kelley/Stan Herbert,2.58,3.65,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seafly/pdf"">PDF</a>",SEAFLY,0.21 m,South Devon Boatbuilders (UK)/others,,,,,,,,,,,,,,,
6932,Long keel w/trans. hung rudder,Masthead Sloop,7.32 m,5.18 m,2.23 m,19.32 m<sup>2</sup>,0.76 m,"1,905 kg",726 kg,12.82,38.10,381.64,FG,,1977,,Stephen Seaton,23.92,1.82,0.98,7.47 m,2.29 m,6.65 m,3.25 m,,,8.54 m<sup>2</sup>,10.81 m<sup>2</sup>,12.84,7.81 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seaforth-24/pdf"">PDF</a>",SEAFORTH 24,,Capson Marine/Precision Boat Works (USA),RC8D,,Renault,Diesel,,,,,,,,,,,
6933,Fin with rudder on skeg,Masthead Sloop,10.29 m,8.53 m,3.05 m,48.40 m<sup>2</sup>,1.60 m,"5,352 kg","2,345 kg",16.14,43.81,239.97,FG,,1977,,R. van der Staad,28.57,1.76,2.19,13.03 m,4.27 m,11.28 m,3.66 m,,,27.80 m<sup>2</sup>,20.62 m<sup>2</sup>,16.15,13.71 m,"<a class="""" href=""https://sailboatdata.com/sailboat/seaforth-34/pdf"">PDF</a>",SEAFORTH 34,,,,,,,,,,,,,,,,,
6934,Twin Keel,Masthead  Ketch,10.97 m,8.84 m,3.40 m,39.48 m<sup>2</sup>,1.14 m,"6,096 kg","2,032 kg",12.07,33.33,246.01,FG,,1980,,C. S. J. Roy,26.87,1.88,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seaforth-36/pdf"">PDF</a>",SEAFORTH 36,,Trident Marine (UK),,,,,,,,,,,,,,,
6935,Centerboard Dinghy,Fractional  Sloop,3.58 m,,1.45 m,7.15 m<sup>2</sup>,0.71 m,109 kg,,31.93,,,,,,,,,3.06,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seagull-12-skimmar/pdf"">PDF</a>",SEAGULL 12 (SKIMMAR),,Skimmar Boats,,,,,,,,,,,,,,,
6936,Keel/Cbrd.,Masthead Sloop,5.64 m,5.26 m,2.06 m,19.97 m<sup>2</sup>,1.14 m,762 kg,159 kg,24.39,20.83,146.11,"plywood, hard chine",,1956,400,Ian Proctor,11.57,2.27,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seagull-18/pdf"">PDF</a>",SEAGULL 18,0.43 m,Bell Woodworking (UK),,,,,,,,,,,,,,,
6937,Swing Keel,Fractional  Sloop,5.13 m,4.40 m,1.98 m,10.68 m<sup>2</sup>,0.91 m,545 kg,200 kg,16.31,36.69,178.22,Wood/FG,,1968,,John A. Bennet,10.12,2.45,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/seahawk-17/pdf"">PDF</a>",SEAHAWK 17,0.45 m,Reedcraft Ltd/R. Moore & Son. (UK),,2001,,,,,,,,,,,,,
